AAEL012997;AAEL004269
AAEL008014;AAEL010682
AAEL015080;AAEL002810
AAEL006788;AAEL006223
AAEL000118;AAEL007904
AAEL010371;AAEL011790
AAEL011058;AAEL001380
AAEL013094;AAEL001380
AAEL000152;AAEL009737
AAEL002337;AAEL001103
AAEL000118;AAEL009887
AAEL004232;AAEL009383
AAEL004475;AAEL007546
AAEL010371;AAEL002970
AAEL012809;AAEL003193
AAEL013683;AAEL003634
AAEL000001;AAEL007521
AAEL008822;AAEL012326
AAEL013818;AAEL010013
AAEL011650;AAEL005364
AAEL005580;AAEL012545
AAEL009021;AAEL003193
AAEL005610;AAEL010823
AAEL013903;AAEL012843
AAEL002216;AAEL007153
AAEL001273;AAEL001516
AAEL005356;AAEL013869
AAEL013903;AAEL013064
AAEL000394;AAEL013818
AAEL003271;AAEL014214
AAEL014869;AAEL007568
AAEL012284;AAEL007568
AAEL008958;AAEL009056
AAEL013723;AAEL000733
AAEL004862;AAEL009969
AAEL011643;AAEL012877
AAEL012904;AAEL009317
AAEL001709;AAEL000983
AAEL010442;AAEL000897
AAEL007236;AAEL011180
AAEL012556;AAEL002761
AAEL013679;AAEL011739
AAEL004182;AAEL002139
AAEL014722;AAEL011739
AAEL004995;AAEL004995
AAEL015560;AAEL012466
AAEL013341;AAEL013341
AAEL001484;AAEL014529
AAEL012675;AAEL011568
AAEL008183;AAEL011429
AAEL002701;AAEL007370
AAEL012612;AAEL010450
AAEL015336;AAEL014934
AAEL005617;AAEL005617
AAEL010080;AAEL011358
AAEL005564;AAEL000262
AAEL003431;AAEL006174
AAEL003744;AAEL014508
AAEL005356;AAEL007904
AAEL009602;AAEL012275
AAEL002161;AAEL009388
AAEL000832;AAEL009887
AAEL012514;AAEL005825
AAEL010458;AAEL008763
AAEL005858;AAEL013690
AAEL009635;AAEL011814
AAEL007917;AAEL011220
AAEL014746;AAEL001677
AAEL014746;AAEL001683
AAEL007469;AAEL011596
AAEL000118;AAEL005356
AAEL002304;AAEL002304
AAEL006363;AAEL004178
AAEL004493;AAEL012143
AAEL001156;AAEL009149
AAEL001119;AAEL004673
AAEL002092;AAEL008686
AAEL007647;AAEL012250
AAEL003975;AAEL007573
AAEL010885;AAEL008443
AAEL014178;AAEL012669
AAEL008247;AAEL009905
AAEL001324;AAEL006788
AAEL011231;AAEL005400
AAEL005401;AAEL011250
AAEL009887;AAEL007904
AAEL009088;AAEL001795
AAEL007822;AAEL012272
AAEL014856;AAEL011780
AAEL012904;AAEL005069
AAEL002963;AAEL004007
AAEL014822;AAEL009059
AAEL004902;AAEL002711
AAEL007848;AAEL003375
AAEL014178;AAEL007541
AAEL009756;AAEL007979
AAEL010567;AAEL015143
AAEL007221;AAEL005250
AAEL000706;AAEL008656
AAEL005356;AAEL009887
AAEL006056;AAEL009042
AAEL006066;AAEL014583
AAEL005066;AAEL004873
AAEL005825;AAEL010251
AAEL005825;AAEL014262
AAEL000832;AAEL000118
AAEL010831;AAEL003109
AAEL012675;AAEL008703
AAEL006401;AAEL004464
AAEL007387;AAEL012636
AAEL009302;AAEL011663
AAEL003370;AAEL011196
AAEL007022;AAEL002140
AAEL011851;AAEL013739
AAEL012514;AAEL014262
AAEL004237;AAEL001157
AAEL012514;AAEL010251
AAEL007271;AAEL011202
AAEL009756;AAEL003845
AAEL003941;AAEL006544
AAEL011057;AAEL003868
AAEL012675;AAEL012459
AAEL004457;AAEL004763
AAEL007089;AAEL003109
AAEL005400;AAEL009376
AAEL013863;AAEL013950
AAEL013061;AAEL011233
AAEL009089;AAEL009814
AAEL008462;AAEL009039
AAEL004427;AAEL001103
AAEL009905;AAEL014314
AAEL013189;AAEL012330
AAEL006788;AAEL007581
AAEL012284;AAEL013108
AAEL014869;AAEL013108
AAEL012675;AAEL015120
AAEL005137;AAEL012381
AAEL012675;AAEL011667
AAEL001857;AAEL002137
AAEL012101;AAEL002851
AAEL009273;AAEL009273
AAEL001922;AAEL009731
AAEL001972;AAEL006462
AAEL001574;AAEL001139
AAEL007871;AAEL004607
AAEL001363;AAEL003985
AAEL005856;AAEL009829
AAEL007105;AAEL007105
AAEL003587;AAEL007801
AAEL008255;AAEL003912
AAEL000832;AAEL007904
AAEL004469;AAEL014375
AAEL000832;AAEL005356
AAEL007699;AAEL009614
AAEL012476;AAEL013522
AAEL013675;AAEL011527
AAEL006525;AAEL007291
AAEL005513;AAEL009351
AAEL006492;AAEL005655
AAEL012366;AAEL003834
AAEL004422;AAEL008755
AAEL013369;AAEL008255
AAEL005636;AAEL013675
AAEL006697;AAEL005851
AAEL001374;AAEL013845
AAEL010958;AAEL007865
AAEL011429;AAEL009658
AAEL013539;AAEL008329
AAEL005400;AAEL003277
AAEL000999;AAEL011811
AAEL006725;AAEL015244
AAEL013248;AAEL001038
AAEL008500;AAEL001363
AAEL006725;AAEL012348
AAEL008755;AAEL001831
AAEL011227;AAEL011227
AAEL013357;AAEL003036
AAEL009509;AAEL000179
AAEL005793;AAEL013942
AAEL001334;AAEL000605
AAEL010885;AAEL010388
AAEL004185;AAEL003416
AAEL005263;AAEL001506
AAEL004686;AAEL010341
AAEL004291;AAEL006492
AAEL005273;AAEL008170
AAEL008508;AAEL006492
AAEL006721;AAEL002764
AAEL002810;AAEL012546
AAEL004417;AAEL010368
AAEL009220;AAEL007219
AAEL001439;AAEL007760
AAEL009170;AAEL013010
AAEL002464;AAEL009808
AAEL005636;AAEL010251
AAEL005636;AAEL014262
AAEL009275;AAEL001166
AAEL007568;AAEL011692
AAEL000659;AAEL006819
AAEL007326;AAEL012930
AAEL003112;AAEL005173
AAEL009145;AAEL001131
AAEL007568;AAEL010617
AAEL011905;AAEL011905
AAEL013230;AAEL004546
AAEL010388;AAEL014635
AAEL014333;AAEL007149
AAEL014528;AAEL010588
AAEL001698;AAEL002938
AAEL007228;AAEL007162
AAEL009302;AAEL013869
AAEL007153;AAEL008661
AAEL011650;AAEL000983
AAEL012039;AAEL003374
AAEL011992;AAEL012250
AAEL014042;AAEL006977
AAEL007546;AAEL011750
AAEL012303;AAEL007149
AAEL007686;AAEL007450
AAEL011172;AAEL003416
AAEL010610;AAEL000706
AAEL014668;AAEL007297
AAEL005069;AAEL006091
AAEL007484;AAEL001273
AAEL014636;AAEL007801
AAEL007939;AAEL000999
AAEL012925;AAEL007326
AAEL001500;AAEL009326
AAEL012514;AAEL005636
AAEL009465;AAEL007581
AAEL007297;AAEL004563
AAEL005719;AAEL013869
AAEL009402;AAEL008379
AAEL007067;AAEL006988
AAEL006221;AAEL001931
AAEL015080;AAEL000999
AAEL006743;AAEL006087
AAEL006221;AAEL001942
AAEL012658;AAEL002979
AAEL001756;AAEL003744
AAEL005830;AAEL009898
AAEL004896;AAEL004333
AAEL006061;AAEL009898
AAEL011387;AAEL010108
AAEL013596;AAEL004592
AAEL010589;AAEL003834
AAEL002137;AAEL006988
AAEL004896;AAEL006400
AAEL005830;AAEL006061
AAEL007105;AAEL006932
AAEL001471;AAEL002687
AAEL000849;AAEL014670
AAEL000404;AAEL008850
AAEL013541;AAEL001859
AAEL004896;AAEL001036
AAEL009905;AAEL004698
AAEL002912;AAEL006731
AAEL015336;AAEL012275
AAEL013066;AAEL012280
AAEL011866;AAEL011692
AAEL000201;AAEL012826
AAEL013230;AAEL006040
AAEL003409;AAEL009833
AAEL005636;AAEL005825
AAEL010821;AAEL014583
AAEL011866;AAEL010617
AAEL006788;AAEL009465
AAEL009304;AAEL011776
AAEL001482;AAEL014813
AAEL001482;AAEL010486
AAEL008623;AAEL000330
AAEL002810;AAEL011811
AAEL005719;AAEL007904
AAEL007749;AAEL003604
AAEL005401;AAEL008686
AAEL009773;AAEL011478
AAEL004237;AAEL003887
AAEL004866;AAEL014396
AAEL011873;AAEL014642
AAEL011873;AAEL014639
AAEL004763;AAEL014125
AAEL007148;AAEL003259
AAEL006654;AAEL006278
AAEL004112;AAEL003599
AAEL013637;AAEL013637
AAEL014042;AAEL013068
AAEL009398;AAEL010588
AAEL012326;AAEL011905
AAEL006148;AAEL014825
AAEL012095;AAEL013890
AAEL010244;AAEL006690
AAEL015564;AAEL014670
AAEL000568;AAEL004733
AAEL005742;AAEL008363
AAEL004173;AAEL004733
AAEL011780;AAEL012826
AAEL000724;AAEL013208
AAEL009059;AAEL004475
AAEL004866;AAEL013783
AAEL010908;AAEL012456
AAEL002248;AAEL006572
AAEL008865;AAEL003972
AAEL004221;AAEL004221
AAEL010248;AAEL008572
AAEL011116;AAEL011116
AAEL005162;AAEL008175
AAEL012637;AAEL001554
AAEL010412;AAEL000934
AAEL004725;AAEL003348
AAEL011830;AAEL014018
AAEL005424;AAEL006085
AAEL004675;AAEL002137
AAEL011866;AAEL008794
AAEL005025;AAEL001131
AAEL010087;AAEL009898
AAEL007022;AAEL002154
AAEL008154;AAEL013539
AAEL000131;AAEL000733
AAEL009383;AAEL013522
AAEL009041;AAEL012310
AAEL011754;AAEL010794
AAEL004371;AAEL004358
AAEL014720;AAEL003604
AAEL001838;AAEL009980
AAEL001131;AAEL009839
AAEL007353;AAEL013396
AAEL002883;AAEL014487
AAEL003318;AAEL001165
AAEL001255;AAEL014487
AAEL014055;AAEL006226
AAEL008255;AAEL007185
AAEL011780;AAEL014250
AAEL004526;AAEL007573
AAEL011197;AAEL012283
AAEL005742;AAEL006988
AAEL001904;AAEL012310
AAEL000719;AAEL005171
AAEL005830;AAEL010087
AAEL002395;AAEL013397
AAEL013940;AAEL012725
AAEL004475;AAEL012310
AAEL012545;AAEL005870
AAEL008320;AAEL002785
AAEL011742;AAEL006993
AAEL003439;AAEL000081
AAEL003409;AAEL003704
AAEL006661;AAEL003401
AAEL009145;AAEL005025
AAEL001809;AAEL006534
